date,market,district_key,modal_price,min_price,max_price,reported,gap_filled,commodity,state
2022-01-01,Bagepalli,chikkamagaluru,2150.0,1300.0,3200.0,True,False,Tomato,Karnataka
2022-01-02,Bagepalli,chikkamagaluru,2150.0,1300.0,3200.0,False,True,Tomato,Karnataka
2022-01-03,Bagepalli,chikkamagaluru,1846.0,1200.0,2600.0,True,False,Tomato,Karnataka
2022-01-04,Bagepalli,chikkamagaluru,1846.0,1200.0,2600.0,False,True,Tomato,Karnataka
2022-01-05,Bagepalli,chikkamagaluru,1846.0,1200.0,2600.0,False,True,Tomato,Karnataka
2022-01-06,Bagepalli,chikkamagaluru,1846.0,1200.0,2600.0,False,True,Tomato,Karnataka
2022-01-07,Bagepalli,chikkamagaluru,,,,False,False,Tomato,Karnataka
2022-01-08,Bagepalli,chikkamagaluru,,,,False,False,Tomato,Karnataka
2022-01-09,Bagepalli,chikkamagaluru,,,,False,False,Tomato,Karnataka
2022-01-10,Bagepalli,chikkamagaluru,,,,False,False,Tomato,Karnataka
2022-01-11,Bagepalli,chikkamagaluru,1240.0,800.0,1450.0,True,False,Tomato,Karnataka
2022-01-12,Bagepalli,chikkamagaluru,1025.0,750.0,1330.0,True,False,Tomato,Karnataka
2022-01-13,Bagepalli,chikkamagaluru,958.0,706.0,1120.0,True,False,Tomato,Karnataka
2022-01-14,Bagepalli,chikkamagaluru,950.0,680.0,1230.0,True,False,Tomato,Karnataka
2022-01-15,Bagepalli,chikkamagaluru,950.0,680.0,1230.0,False,True,Tomato,Karnataka
2022-01-16,Bagepalli,chikkamagaluru,950.0,680.0,1230.0,False,True,Tomato,Karnataka
2022-01-17,Bagepalli,chikkamagaluru,950.0,580.0,1100.0,True,False,Tomato,Karnataka
2022-01-18,Bagepalli,chikkamagaluru,715.0,490.0,900.0,True,False,Tomato,Karnataka
2022-01-19,Bagepalli,chikkamagaluru,630.0,450.0,860.0,True,False,Tomato,Karnataka
2022-01-20,Bagepalli,chikkamagaluru,589.0,410.0,850.0,True,False,Tomato,Karnataka
2022-01-21,Bagepalli,chikkamagaluru,565.0,400.0,800.0,True,False,Tomato,Karnataka
2022-01-22,Bagepalli,chikkamagaluru,565.0,400.0,800.0,False,True,Tomato,Karnataka
2022-01-23,Bagepalli,chikkamagaluru,565.0,400.0,800.0,False,True,Tomato,Karnataka
2022-01-24,Bagepalli,chikkamagaluru,565.0,400.0,800.0,False,True,Tomato,Karnataka
2022-01-25,Bagepalli,chikkamagaluru,514.0,390.0,800.0,True,False,Tomato,Karnataka
2022-01-26,Bagepalli,chikkamagaluru,514.0,390.0,800.0,False,True,Tomato,Karnataka
2022-01-27,Bagepalli,chikkamagaluru,512.0,385.0,750.0,True,False,Tomato,Karnataka
