date,district_key,arrival_tonnes,modal_price,min_price,max_price,markets_reporting,district,commodity,state,arrival_reported,price_reported
2022-01-01,bengaluru,65.0,3500.0,3000.0,5000.0,3,Bengaluru,Tomato,Karnataka,True,True
2022-01-02,bengaluru,65.0,4000.0,3000.0,5000.0,1,Bengaluru,Tomato,Karnataka,False,True
2022-01-03,bengaluru,74.0,3200.0,2500.0,4000.0,5,Bengaluru,Tomato,Karnataka,True,True
2022-01-04,bengaluru,122.0,3000.0,2250.0,3550.0,4,Bengaluru,Tomato,Karnataka,True,True
2022-01-05,bengaluru,60.0,2650.0,2250.0,3000.0,5,Bengaluru,Tomato,Karnataka,True,True
2022-01-06,bengaluru,102.0,2400.0,1875.0,2750.0,4,Bengaluru,Tomato,Karnataka,True,True
2022-01-07,bengaluru,91.0,2500.0,2000.0,3000.0,5,Bengaluru,Tomato,Karnataka,True,True
2022-01-08,bengaluru,91.0,2500.0,2000.0,3000.0,1,Bengaluru,Tomato,Karnataka,False,True
2022-01-09,bengaluru,91.0,2500.0,2000.0,3000.0,1,Bengaluru,Tomato,Karnataka,False,True
2022-01-10,bengaluru,126.0,2500.0,2000.0,3000.0,5,Bengaluru,Tomato,Karnataka,True,True
2022-01-11,bengaluru,126.0,2700.0,2000.0,3000.0,5,Bengaluru,Tomato,Karnataka,True,True
2022-01-12,bengaluru,90.0,2700.0,2500.0,3000.0,3,Bengaluru,Tomato,Karnataka,True,True
2022-01-13,bengaluru,105.0,2000.0,1500.0,2500.0,4,Bengaluru,Tomato,Karnataka,True,True
2022-01-14,bengaluru,73.0,2300.0,2000.0,2500.0,5,Bengaluru,Tomato,Karnataka,True,True
2022-01-15,bengaluru,73.0,2300.0,2000.0,2500.0,0,Bengaluru,Tomato,Karnataka,False,False
2022-01-16,bengaluru,73.0,2300.0,2000.0,2500.0,0,Bengaluru,Tomato,Karnataka,False,False
2022-01-17,bengaluru,98.0,1500.0,1000.0,2200.0,5,Bengaluru,Tomato,Karnataka,True,True
2022-01-18,bengaluru,120.0,1500.0,1000.0,2000.0,4,Bengaluru,Tomato,Karnataka,True,True
2022-01-19,bengaluru,140.0,1625.0,1250.0,2000.0,3,Bengaluru,Tomato,Karnataka,True,True
2022-01-20,bengaluru,24.0,1600.0,1400.0,1900.0,3,Bengaluru,Tomato,Karnataka,True,True
