district,risk_window_start,price_at_start,bottom_date,bottom_price,total_drop_pct,price_down_15pct_date,first_high_alert,lead_days_to_bottom,lead_days_before_15pct_fall
Bengaluru,2023-01-18,2875.0,2023-02-03,1250.0,56.5,2023-01-23,2023-01-10,24.0,13.0
Bengaluru,2023-02-15,2600.0,2023-03-03,1400.0,46.2,2023-02-17,2023-02-05,26.0,12.0
Bengaluru,2023-03-04,1600.0,2023-03-28,500.0,68.8,2023-03-14,2023-02-22,34.0,20.0
Bengaluru,2023-04-24,875.0,2023-04-26,500.0,42.9,2023-04-26,,,
Bengaluru,2023-06-01,2800.0,2023-06-03,1600.0,42.9,2023-06-02,2023-05-28,6.0,5.0
Bengaluru,2023-07-29,10000.0,2023-09-13,550.0,94.5,2023-08-06,2023-07-19,56.0,18.0
Bengaluru,2023-09-28,1000.0,2023-09-30,550.0,45.0,2023-09-30,2023-09-29,1.0,1.0
Bengaluru,2023-10-28,2000.0,2023-11-04,1200.0,40.0,2023-10-31,2023-10-21,14.0,10.0
Bengaluru,2023-11-08,3350.0,2023-11-13,2000.0,40.3,2023-11-09,2023-10-29,15.0,11.0
Bengaluru,2023-11-19,4000.0,2023-12-03,1900.0,52.5,2023-11-20,2023-11-09,24.0,11.0
Bengaluru,2024-01-03,2400.0,2024-01-15,1300.0,45.8,2024-01-08,2023-12-24,22.0,15.0
Bengaluru,2024-02-05,2200.0,2024-02-16,800.0,63.6,2024-02-07,2024-01-28,19.0,10.0
Bengaluru,2024-02-21,2000.0,2024-02-29,800.0,60.0,2024-02-22,2024-02-11,18.0,11.0
Bengaluru,2024-02-28,1800.0,2024-02-29,800.0,55.6,2024-02-29,2024-02-21,8.0,8.0
Bengaluru,2024-06-19,8500.0,2024-07-03,4000.0,52.9,2024-06-20,2024-06-19,14.0,1.0
Bengaluru,2024-07-14,5000.0,2024-08-09,1000.0,80.0,2024-07-22,2024-07-05,35.0,17.0
Bengaluru,2024-10-03,7000.0,2024-10-10,3750.0,46.4,2024-10-04,2024-09-28,12.0,6.0
Bengaluru,2024-10-16,4500.0,2024-11-01,2000.0,55.6,2024-10-20,2024-10-11,21.0,9.0
Bengaluru,2024-11-02,3000.0,2024-11-12,1600.0,46.7,2024-11-04,2024-10-23,20.0,12.0
Bengaluru,2024-11-21,2500.0,2024-12-16,1350.0,46.0,2024-12-13,2024-11-11,35.0,32.0
Bengaluru,2025-02-10,1600.0,2025-02-28,800.0,50.0,2025-02-14,2025-01-31,28.0,14.0
Bengaluru,2025-03-06,1100.0,2025-03-16,500.0,54.5,2025-03-12,,,
Bengaluru,2025-03-24,1200.0,2025-04-04,500.0,58.3,2025-03-25,2025-03-17,18.0,8.0
Bengaluru,2025-08-20,3800.0,2025-09-17,1200.0,68.4,2025-08-23,2025-08-13,35.0,10.0
Bengaluru,2025-09-16,1700.0,2025-10-02,1000.0,41.2,2025-09-17,2025-09-08,24.0,9.0
Bengaluru,2025-11-24,5350.0,2025-12-07,2500.0,53.3,2025-11-27,2025-11-14,23.0,13.0
Bengaluru,2025-12-16,5000.0,2025-12-23,2600.0,48.0,2025-12-17,2025-12-06,17.0,11.0
Chamarajanagar,2023-01-17,2100.0,2023-01-28,900.0,57.1,2023-01-18,2023-01-10,18.0,8.0
Chamarajanagar,2023-02-13,2000.0,2023-02-27,1100.0,45.0,2023-02-18,2023-02-03,24.0,15.0
Chamarajanagar,2023-02-28,1500.0,2023-04-01,350.0,76.7,2023-03-03,2023-02-18,42.0,13.0
Chamarajanagar,2023-05-14,1300.0,2023-05-25,450.0,65.4,2023-05-15,,,
Chamarajanagar,2023-07-29,8000.0,2023-09-09,500.0,93.8,2023-08-07,2023-07-19,52.0,19.0
Chamarajanagar,2023-09-04,1000.0,2023-09-15,400.0,60.0,2023-09-06,2023-09-04,11.0,2.0
Chamarajanagar,2023-09-14,650.0,2023-09-26,350.0,46.2,2023-09-15,2023-09-04,22.0,11.0
Chamarajanagar,2023-10-07,1000.0,2023-10-17,400.0,60.0,2023-10-09,2023-10-07,10.0,2.0
Chamarajanagar,2023-10-12,700.0,2023-10-17,400.0,42.9,2023-10-13,2023-10-07,10.0,6.0
Chamarajanagar,2023-10-16,700.0,2023-10-17,400.0,42.9,2023-10-17,2023-10-07,10.0,10.0
Chamarajanagar,2023-11-04,1700.0,2023-11-11,1000.0,41.2,2023-11-08,2023-10-30,12.0,9.0
Chamarajanagar,2023-12-05,2500.0,2023-12-09,1500.0,40.0,2023-12-06,2023-11-27,12.0,9.0
Chamarajanagar,2023-12-11,2500.0,2023-12-23,1400.0,44.0,2023-12-12,2023-12-02,21.0,10.0
Chamarajanagar,2024-01-01,2200.0,2024-01-13,1000.0,54.5,2024-01-02,2023-12-22,22.0,11.0
Chamarajanagar,2024-02-07,1950.0,2024-02-29,450.0,76.9,2024-02-08,2024-01-28,32.0,11.0
Chamarajanagar,2024-03-05,1100.0,2024-03-09,600.0,45.5,2024-03-07,2024-03-04,5.0,3.0
Chamarajanagar,2024-04-04,2200.0,2024-04-16,800.0,63.6,2024-04-06,2024-03-25,22.0,12.0
Chamarajanagar,2024-04-26,1700.0,2024-05-06,1000.0,41.2,2024-04-27,2024-04-18,18.0,9.0
Chamarajanagar,2024-05-24,2750.0,2024-06-03,1300.0,52.7,2024-05-25,2024-05-17,17.0,8.0
Chamarajanagar,2024-06-05,2700.0,2024-06-06,1500.0,44.4,2024-06-06,2024-05-28,9.0,9.0
Chamarajanagar,2024-06-19,3900.0,2024-07-03,1800.0,53.8,2024-06-22,2024-06-11,22.0,11.0
Chamarajanagar,2024-07-17,3100.0,2024-08-10,600.0,80.6,2024-07-24,2024-07-07,34.0,17.0
Chamarajanagar,2024-09-06,1400.0,2024-09-17,800.0,42.9,2024-09-07,2024-09-10,7.0,-3.0
Chamarajanagar,2024-09-18,1900.0,2024-09-25,1000.0,47.4,2024-09-19,2024-09-10,15.0,9.0
Chamarajanagar,2024-10-16,3700.0,2024-10-26,2000.0,45.9,2024-10-19,2024-10-07,19.0,12.0
Chamarajanagar,2024-10-28,3500.0,2024-11-12,1100.0,68.6,2024-10-29,2024-10-18,25.0,11.0
Chamarajanagar,2024-12-02,2900.0,2024-12-14,1000.0,65.5,2024-12-12,2024-11-27,17.0,15.0
Chamarajanagar,2025-01-10,1400.0,2025-01-22,700.0,50.0,2025-01-11,2025-01-14,8.0,-3.0
Chamarajanagar,2025-02-28,1100.0,2025-03-13,500.0,54.5,2025-03-03,2025-02-28,13.0,3.0
Chamarajanagar,2025-05-12,1750.0,2025-05-20,1000.0,42.9,2025-05-13,2025-05-06,14.0,7.0
Chamarajanagar,2025-05-26,1750.0,2025-06-02,825.0,52.9,2025-05-27,2025-05-26,7.0,1.0
Chamarajanagar,2025-07-18,14000.0,2025-07-19,1750.0,87.5,2025-07-19,2025-07-11,8.0,8.0
Chamarajanagar,2025-07-29,2750.0,2025-08-12,1300.0,52.7,2025-08-02,2025-08-05,7.0,-3.0
Chamarajanagar,2025-08-22,2400.0,2025-09-19,975.0,59.4,2025-08-29,2025-08-15,35.0,14.0
Chamarajanagar,2025-09-22,1750.0,2025-10-06,1050.0,40.0,2025-09-27,2025-09-24,12.0,3.0
Chikkamagaluru,2023-01-21,1923.0,2023-02-11,800.0,58.4,2023-01-30,2023-01-11,31.0,19.0
Chikkamagaluru,2023-02-07,1450.0,2023-02-11,800.0,44.8,2023-02-08,2023-01-28,14.0,11.0
Chikkamagaluru,2023-02-20,1900.5,2023-04-02,250.0,86.8,2023-02-22,2023-02-10,51.0,12.0
Chikkamagaluru,2023-05-17,1482.0,2023-05-29,833.0,43.8,2023-05-18,2023-05-17,12.0,1.0
Chikkamagaluru,2023-07-13,5950.0,2023-08-29,250.0,95.8,2023-07-23,2023-07-03,57.0,20.0
Chikkamagaluru,2023-10-06,3866.5,2023-10-09,742.5,80.8,2023-10-09,2023-10-06,3.0,3.0
Chikkamagaluru,2023-11-10,2640.0,2023-11-14,1300.0,50.8,2023-11-13,2023-11-03,11.0,10.0
Chikkamagaluru,2023-11-27,2934.0,2023-12-17,90.0,96.9,2023-12-01,2023-11-18,29.0,13.0
Chikkamagaluru,2023-12-21,1232.5,2023-12-28,150.0,87.8,2023-12-28,2023-12-11,17.0,17.0
Chikkamagaluru,2024-01-08,2023.0,2024-01-26,165.0,91.8,2024-01-17,2023-12-29,28.0,19.0
Chikkamagaluru,2024-01-30,704.5,2024-01-31,205.0,70.9,2024-01-31,2024-01-20,11.0,11.0
Chikkamagaluru,2024-04-03,1604.0,2024-04-13,769.0,52.1,2024-04-04,2024-03-25,19.0,10.0
Chikkamagaluru,2024-04-22,2055.0,2024-04-23,1154.0,43.8,2024-04-23,2024-04-15,8.0,8.0
Chikkamagaluru,2024-04-29,2039.0,2024-05-03,1154.0,43.4,2024-05-03,2024-04-19,14.0,14.0
Chikkamagaluru,2024-06-04,2236.0,2024-06-09,1231.0,44.9,2024-06-06,2024-06-04,5.0,2.0
Chikkamagaluru,2024-06-12,3922.0,2024-06-13,2218.0,43.4,2024-06-13,2024-06-04,9.0,9.0
Chikkamagaluru,2024-06-18,3736.0,2024-07-01,1308.0,65.0,2024-06-24,2024-06-11,20.0,13.0
Chikkamagaluru,2024-07-15,3435.5,2024-08-01,1385.0,59.7,2024-07-18,2024-07-05,27.0,13.0
Chikkamagaluru,2024-09-05,2491.0,2024-09-08,1154.0,53.7,2024-09-06,2024-09-05,3.0,1.0
Chikkamagaluru,2024-10-05,2928.5,2024-10-06,1462.0,50.1,2024-10-06,2024-10-01,5.0,5.0
Chikkamagaluru,2024-10-15,2371.5,2024-10-26,1157.0,51.2,2024-10-16,2024-10-05,21.0,11.0
Chikkamagaluru,2024-11-04,1991.0,2024-11-05,1153.0,42.1,2024-11-05,2024-10-25,11.0,11.0
Chikkamagaluru,2024-11-28,2899.0,2024-12-15,769.0,73.5,2024-12-05,2024-11-18,27.0,17.0
Chikkamagaluru,2024-12-24,1979.0,2025-01-19,615.0,68.9,2024-12-27,2024-12-18,32.0,9.0
